"...1","id","host_response_rate","host_acceptance_rate","host_is_superhost","host_total_listings_count","host_has_profile_pic","host_identity_verified","neighbourhood_group_cleansed","accommodates","bedrooms","beds","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_60","availability_365","number_of_reviews","review_scores_accuracy","review_scores_cleanliness","review_scores_checkin","review_scores_communication","review_scores_location","review_scores_value","calculated_host_listings_count","reviews_per_month","n_days_last_review","n_character_in_desription","n_days_host_since","n_characters_in_host_about","n_host_verifications","classes_property_type","bathrooms_type","bathroom_number","n_amenities","amenities_Wifi","amenities_Backyard","amenities_TV","amenities_Washer","amenities_Dishwasher","amenities_AC","amenities_Breakfast","price_new","price_per_accomate","lasso_rating"
6662,17479736,90,79,0,1,1,1,"Manhattan",2,1,1,1,30,1,0,0,19,4.94,5,4.89,4.94,4.72,4.94,1,0.49,789,536,2112,0,6,2,1,1,21,1,0,1,1,0,1,1,59,29.5,0.710636182552353
6663,17480159,100,100,1,2,1,1,"Queens",2,1,3,1,1125,1,8,225,121,4.84,4.74,4.98,4.95,4.6,4.69,1,3.83,66,731,1772,26,7,2,2,1,22,1,1,1,0,0,1,0,92,46,0.255522958943396
6664,17489509,90,100,1,2,1,1,"Brooklyn",4,2,2,30,1125,1,0,0,159,4.97,4.81,4.94,4.99,4.97,4.93,1,3.12,370,1000,2961,953,6,3,2,1,28,1,0,1,0,1,1,0,160,40,0.578422546821285
6665,17495518,90,79,0,1,1,1,"Manhattan",4,1,1,30,1125,1,0,0,7,5,4.57,4.86,4.71,4.86,4.71,1,0.14,1492,829,1679,78,8,3,2,1,11,1,0,1,0,0,1,0,100,25,0.202006872120874
6666,17495819,90,74,0,2,1,1,"Manhattan",2,1,1,3,14,1,0,0,94,4.95,4.91,5,4.96,4.48,4.95,1,2.04,63,1000,2798,1156,7,2,1,1,32,1,0,1,1,1,1,0,70,35,0.490155594668675
6667,17495862,90,79,1,1,1,0,"Brooklyn",2,1,1,4,1125,1,16,18,45,4.93,4.84,4.93,4.95,4.36,4.89,1,1.03,709,250,1875,256,3,2,1,1,42,1,0,1,0,0,0,0,59,29.5,0.465939587109546
6668,17496511,90,79,0,1,1,0,"Manhattan",2,1,1,30,1125,1,0,0,16,4.63,4.75,4.5,4.69,4.94,4.81,1,0.42,1136,924,1679,13,5,3,2,1,17,0,0,1,0,1,0,0,175,87.5,-0.45280459230789
6669,17499587,90,79,0,1,1,1,"Manhattan",4,2,2,30,1125,1,0,0,6,4.6,3.6,4.8,4.8,4.8,4.4,1,0.12,1533,623,2181,0,7,3,2,1,16,1,0,1,0,0,1,0,220,55,-1.11213440485982
6670,17500994,100,100,1,1,1,1,"Brooklyn",3,1,1,2,1125,1,6,287,132,4.98,4.95,4.98,4.98,4.77,4.93,1,3.02,67,580,1887,164,5,3,2,1,28,1,0,1,0,0,1,0,71,23.6666666666667,0.522517215031977
6671,17501131,90,79,1,3,1,1,"Brooklyn",1,1,1,30,1125,1,0,0,31,4.87,4.77,4.55,4.84,4.77,4.84,2,1.13,778,1000,2679,686,4,1,1,1,26,1,0,0,1,0,0,0,35,35,0.428323375924779
6672,17508940,90,79,1,1,1,1,"Manhattan",2,1,1,1,3,1,0,0,39,4.95,4.33,4.95,4.92,4.62,4.81,1,0.8,763,1000,2343,0,4,1,1,1,16,1,0,1,0,0,1,0,35,17.5,0.342354065519231
6673,17512277,100,90,0,13,1,1,"Manhattan",6,2,6,30,1125,1,58,363,7,4.43,3.71,5,4.86,5,4.14,11,0.36,793,371,2646,0,6,3,2,1,14,1,0,1,0,0,1,0,150,25,-1.35253145008163
6674,17512466,100,90,0,13,1,1,"Manhattan",6,2,5,30,1125,1,11,239,7,4.29,3.14,4.57,4.71,4.29,4.14,11,0.14,143,338,2646,0,6,3,2,1,14,1,0,1,1,0,1,0,142,23.6666666666667,-2.46506166553542
6675,17513537,90,0,0,1,1,0,"Brooklyn",6,2,6,22.1,1125,1,0,215,53,4.92,4.96,4.94,5,4.85,4.77,1,1.93,568,263,1678,403,3,3,2,1,27,1,0,0,0,0,1,0,500,83.3333333333333,0.469439571675635
6676,17515391,100,95,1,1,1,1,"Brooklyn",2,1,1,3,1125,1,0,34,105,4.99,5,5,5,4.99,4.95,1,2.66,65,1000,2836,0,5,3,2,1,34,1,0,1,0,0,0,0,161,80.5,0.824162825543301
6677,17515734,92,96,1,3,1,1,"Brooklyn",3,2,2,7,1125,1,11,41,51,4.94,4.98,4.96,4.92,4.63,4.84,2,1.17,722,816,1837,199,5,3,2,1,28,1,0,1,1,0,1,0,155,51.6666666666667,0.467590251279914
6678,17515870,90,79,0,1,1,0,"Manhattan",1,1,1,30,1125,1,0,0,5,4.25,3.25,5,4,5,4,1,0.09,1618,252,1678,6,3,2,1,1,15,1,0,1,1,0,1,0,100,100,-2.01735366614177
6679,17516489,100,50,0,2,1,1,"Manhattan",7,3,3,30,1125,1,60,365,7,4.67,4.67,5,5,4.5,4.5,2,0.14,930,759,3647,0,7,3,2,2,20,1,0,1,1,0,1,0,1496,213.714285714286,-0.54372569049525
6680,17520324,100,90,0,3,1,1,"Brooklyn",8,4,7,30,1125,1,34,339,109,4.77,4.29,4.84,4.9,4.85,4.68,3,2.08,94,1000,1705,46,7,3,2,3.5,64,1,1,1,1,1,1,0,565,70.625,-0.310218626115305
6681,17524047,100,85,0,2,1,1,"Brooklyn",2,1,3,3,1125,1,4,112,34,4.94,5,4.88,4.94,4.97,4.97,2,0.65,121,1000,1678,209,6,2,2,1,47,1,1,1,1,1,1,0,160,80,0.664540483693583
6682,17526131,90,79,0,1,1,1,"Brooklyn",6,2,3,30,1124,0,0,0,176,4.98,4.98,4.98,4.99,4.65,4.89,1,3.7,456,1000,1677,292,7,3,2,1,35,1,0,1,0,1,1,0,120,20,0.571945678798664
